EmployeeID,hours_mean,JobInvolvement,PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager
17,6.034225792056945,2,3,4.0,3.0,4.0,21,0,2.0,0.0,3,2,0.0,0.0,1,0.0,0.0,42130,1.0,12,3,3.0,3,3,1,0
18,10.881625390450555,3,3,1.0,4.0,3.0,37,0,0.0,0.0,1,3,0.0,0.0,2,0.0,1.0,41270,2.0,13,1,15.0,2,5,0,2
19,6.48505577867,2,3,2.0,2.0,2.0,35,0,2.0,0.0,7,4,0.0,0.0,1,0.0,1.0,24380,7.0,16,0,10.0,5,7,6,2
20,8.6217324854975,3,3,1.0,1.0,3.0,38,0,2.0,0.0,8,3,0.0,1.0,1,0.0,1.0,68700,1.0,11,1,8.0,5,8,7,7
21,7.072532351628611,3,3,3.0,2.0,1.0,26,0,1.0,0.0,1,4,0.0,0.0,2,0.0,1.0,104470,1.0,18,0,6.0,3,6,1,4
22,5.622517849174445,2,4,1.0,2.0,2.0,50,0,2.0,0.0,8,4,0.0,0.0,1,0.0,1.0,96670,3.0,23,0,28.0,2,10,1,6
23,7.828470548861945,3,3,3.0,3.0,2.0,53,0,2.0,0.0,11,4,0.0,1.0,2,0.0,0.0,21480,3.0,11,0,21.0,2,5,1,3
24,6.615643685854445,1,3,2.0,3.0,3.0,42,0,2.0,0.0,4,4,0.0,0.0,1,0.0,0.0,89260,1.0,14,0,0.0,4,20,11,6
25,6.580408299866111,3,3,2.0,4.0,2.0,29,0,1.0,0.0,16,4,0.0,0.0,1,0.0,0.0,65130,1.0,11,1,10.0,2,10,0,9
26,9.0612148594375,3,3,2.0,4.0,3.0,55,0,2.0,0.0,1,4,0.0,1.0,1,0.0,0.0,67990,3.0,11,0,12.0,2,10,0,8
27,10.536275100401388,3,4,1.0,1.0,3.0,26,0,1.0,0.0,9,3,0.0,1.0,1,0.0,0.0,162910,1.0,22,0,5.0,3,5,3,3
28,7.207425256581667,3,3,4.0,4.0,3.0,37,0,2.0,0.0,5,1,0.0,0.0,1,0.0,0.0,27050,1.0,11,0,17.0,2,17,5,7
29,10.713065595716111,2,3,4.0,3.0,1.0,44,1,1.0,0.0,1,2,0.0,0.0,2,0.0,1.0,103330,3.0,14,1,19.0,2,1,0,0
30,6.310013386880834,2,3,4.0,4.0,3.0,38,0,2.0,0.0,2,3,0.0,1.0,1,0.0,1.0,44480,9.0,12,0,10.0,3,2,1,2
31,9.662807898259445,2,3,1.0,2.0,3.0,26,1,2.0,0.0,4,3,0.0,0.0,3,0.0,1.0,68540,2.0,11,0,5.0,5,3,0,2
32,6.521040829986389,2,3,4.0,4.0,3.0,28,0,2.0,0.0,7,3,0.0,0.0,1,0.0,0.0,96370,1.0,13,0,5.0,6,5,0,2
33,9.88458723784,3,3,3.0,1.0,3.0,49,0,1.0,0.0,1,1,0.0,1.0,2,0.0,0.0,35910,9.0,13,0,22.0,2,3,1,2
34,6.033902275769722,3,3,3.0,2.0,3.0,36,0,2.0,0.0,5,3,0.0,0.0,3,0.0,0.0,54050,4.0,14,0,10.0,2,8,7,7
35,6.348326639892778,3,3,4.0,2.0,2.0,31,0,1.0,0.0,9,4,0.0,0.0,1,0.0,1.0,46840,1.0,16,1,2.0,4,2,2,2
36,9.57092369477889,3,3,4.0,4.0,3.0,26,1,2.0,0.0,8,3,0.0,0.0,2,0.0,0.0,157870,1.0,12,2,8.0,5,8,7,4
37,9.702093931280556,3,3,2.0,4.0,2.0,37,0,1.0,0.0,9,1,0.0,0.0,1,0.0,0.0,15140,1.0,14,0,4.0,3,4,1,2
38,5.5232954038375,3,3,3.0,2.0,4.0,42,0,1.0,0.0,2,2,0.0,0.0,3,0.0,0.0,29560,5.0,13,0,23.0,2,20,4,8
39,6.177288041053056,2,3,3.0,3.0,3.0,18,1,2.0,0.0,1,4,0.0,0.0,1,0.0,0.0,23350,1.0,14,2,0.0,3,0,0,0
40,7.381318607764166,2,3,3.0,2.0,2.0,35,0,2.0,0.0,20,2,0.0,0.0,1,0.0,0.0,51540,0.0,19,0,12.0,2,11,6,9
41,7.060059125390278,2,3,3.0,3.0,3.0,36,0,1.0,0.0,8,3,0.0,1.0,3,0.0,0.0,69620,4.0,12,2,4.0,2,1,0,0
42,7.167754350736111,2,3,4.0,2.0,3.0,51,0,2.0,0.0,2,3,0.0,0.0,2,0.0,1.0,56750,5.0,13,0,13.0,2,4,1,2
43,6.757186523873056,3,3,4.0,2.0,3.0,41,0,2.0,0.0,29,1,0.0,0.0,1,0.0,0.0,23790,1.0,12,0,22.0,6,22,0,4
44,6.755545515394722,3,3,4.0,3.0,3.0,18,0,2.0,0.0,7,3,0.0,0.0,1,0.0,0.0,38120,1.0,15,0,0.0,3,0,0,0
45,7.056963409192222,2,4,2.0,1.0,3.0,28,0,2.0,0.0,9,3,0.0,0.0,1,0.0,0.0,46480,0.0,23,2,9.0,2,8,0,7
46,6.913614457831111,3,3,2.0,4.0,2.0,31,0,2.0,0.0,8,1,0.0,0.0,1,0.0,0.0,29360,4.0,12,1,10.0,2,8,7,7
47,7.207423025435,3,4,3.0,4.0,2.0,39,0,2.0,0.0,5,4,0.0,1.0,2,0.0,1.0,21050,0.0,20,0,19.0,3,18,3,7
48,7.455297858098889,3,4,2.0,2.0,3.0,36,0,0.0,0.0,5,4,0.0,0.0,1,0.0,0.0,85780,7.0,21,0,11.0,4,9,0,8
49,6.358520749665278,3,4,4.0,3.0,2.0,32,0,2.0,0.0,2,3,0.0,0.0,2,0.0,0.0,27060,1.0,21,1,13.0,4,13,4,8
50,6.3239547077197225,2,3,1.0,2.0,3.0,38,0,2.0,0.0,5,2,0.0,1.0,3,0.0,0.0,63840,3.0,19,2,19.0,4,10,0,1
51,10.589165551093055,2,3,4.0,3.0,3.0,58,0,0.0,0.0,2,3,0.0,0.0,2,0.0,1.0,39680,2.0,13,2,12.0,3,5,1,2
52,8.685874609549167,2,3,3.0,4.0,3.0,31,0,2.0,0.0,20,1,0.0,1.0,3,0.0,0.0,99070,0.0,13,1,6.0,3,5,0,3
53,6.557103971441111,3,4,1.0,1.0,3.0,31,0,2.0,0.0,7,4,0.0,0.0,2,0.0,0.0,132250,3.0,21,1,9.0,2,2,1,0
54,6.934087460954722,3,3,1.0,1.0,3.0,45,0,1.0,0.0,3,1,0.0,1.0,1,0.0,1.0,35400,1.0,13,0,24.0,6,24,9,11
55,8.43789045069139,3,3,3.0,4.0,1.0,31,0,2.0,0.0,16,4,0.0,1.0,2,0.0,1.0,28040,0.0,19,2,3.0,0,2,2,2
56,6.457864792503333,3,3,4.0,2.0,3.0,33,0,1.0,0.0,9,3,0.0,0.0,4,0.0,0.0,193920,6.0,12,1,12.0,3,10,8,8
57,10.80961624274861,3,4,3.0,1.0,3.0,39,0,2.0,0.0,1,4,0.0,0.0,1,0.0,0.0,196650,1.0,22,1,21.0,6,21,11,10
58,7.007448683623333,3,3,3.0,4.0,3.0,43,0,1.0,0.0,7,4,0.0,0.0,4,0.0,0.0,24390,0.0,15,0,9.0,2,8,1,7
59,9.709125390450556,3,4,3.0,3.0,3.0,49,0,2.0,0.0,1,3,0.0,0.0,3,0.0,0.0,73140,7.0,22,0,25.0,2,7,0,7
60,7.5880365908075,3,3,3.0,2.0,2.0,52,1,2.0,0.0,7,1,0.0,1.0,2,0.0,0.0,47740,2.0,18,1,11.0,2,8,7,7
61,10.45810910307889,3,4,3.0,2.0,2.0,27,0,2.0,0.0,15,4,0.0,0.0,3,0.0,0.0,39020,1.0,22,0,4.0,2,4,1,2
62,10.074638554216667,4,3,3.0,2.0,3.0,32,0,2.0,0.0,1,3,0.0,0.0,3,0.0,0.0,26620,1.0,11,1,13.0,6,13,11,9
63,9.341363230700555,4,3,4.0,3.0,3.0,27,0,2.0,0.0,13,2,0.0,1.0,4,0.0,0.0,28560,1.0,12,2,5.0,5,5,0,4
64,6.447809013833056,4,3,4.0,4.0,3.0,31,0,2.0,0.0,24,3,0.0,0.0,2,1.0,1.0,10810,4.0,11,3,13.0,4,7,1,7
65,7.136569611780278,3,3,1.0,4.0,2.0,32,0,2.0,0.0,7,3,0.0,0.0,2,1.0,0.0,24720,7.0,13,0,10.0,2,7,0,7
66,10.641073181615278,2,3,1.0,4.0,2.0,28,1,2.0,0.0,9,4,0.0,0.0,1,0.0,0.0,56730,5.0,14,1,5.0,4,3,2,2
67,5.762560240963611,3,3,4.0,4.0,3.0,30,0,2.0,0.0,13,3,0.0,1.0,4,0.0,0.0,41970,1.0,13,0,11.0,3,10,1,9
68,6.025345827755277,2,3,3.0,3.0,3.0,31,0,1.0,0.0,2,1,0.0,1.0,1,0.0,0.0,97130,1.0,17,0,10.0,5,10,8,9
69,5.5637918340025,3,3,3.0,4.0,3.0,39,0,1.0,0.0,19,4,0.0,1.0,1,0.0,0.0,20620,1.0,13,0,21.0,4,21,13,3
70,9.851604194555833,3,3,4.0,3.0,2.0,39,1,2.0,0.0,1,1,0.0,1.0,1,0.0,0.0,42840,4.0,17,1,12.0,0,1,0,0
71,7.2128168228466665,3,3,2.0,4.0,2.0,33,0,1.0,0.0,4,2,0.0,0.0,4,0.0,0.0,47880,3.0,11,1,9.0,0,7,0,1
72,6.337332663989167,4,4,4.0,3.0,3.0,47,0,2.0,0.0,4,3,0.0,1.0,2,1.0,0.0,59060,4.0,23,0,21.0,4,3,1,1
73,5.945283355644722,3,3,3.0,3.0,4.0,43,0,1.0,0.0,14,3,0.0,1.0,5,0.0,1.0,38860,1.0,17,2,9.0,2,9,0,0
74,8.643457161981111,3,3,3.0,2.0,3.0,27,0,0.0,0.0,2,3,0.0,0.0,1,0.0,0.0,168230,0.0,17,0,6.0,3,5,1,4
75,5.681542838018611,3,3,4.0,3.0,2.0,54,0,1.0,0.0,1,4,0.0,0.0,2,0.0,0.0,29330,3.0,12,2,20.0,2,4,0,3
76,6.898489513609722,3,4,3.0,1.0,2.0,43,0,2.0,0.0,7,2,0.0,1.0,2,0.0,0.0,65000,8.0,23,0,10.0,3,1,0,0
77,6.900469656403334,3,3,4.0,4.0,3.0,45,0,2.0,0.0,3,1,0.0,1.0,1,0.0,0.0,171740,9.0,14,1,12.0,6,10,9,8
78,9.197425256581667,3,3,2.0,4.0,2.0,40,0,2.0,0.0,2,4,0.0,0.0,4,0.0,0.0,50330,2.0,14,2,6.0,6,4,0,2
79,9.67827867023639,3,3,2.0,1.0,2.0,29,1,2.0,0.0,29,3,0.0,1.0,1,0.0,0.0,23070,1.0,13,1,7.0,0,7,0,7
80,6.6295515394911115,3,4,2.0,4.0,3.0,29,0,2.0,1.0,8,3,0.0,0.0,3,0.0,0.0,25870,0.0,22,2,4.0,3,3,2,2
81,7.070961624274722,2,3,4.0,3.0,3.0,30,0,2.0,0.0,10,3,0.0,0.0,2,0.0,1.0,55070,1.0,12,2,10.0,2,10,1,2
82,5.957641677822222,2,3,2.0,2.0,3.0,27,0,2.0,0.0,11,2,0.0,0.0,1,0.0,0.0,43930,1.0,18,1,8.0,2,8,0,7
83,5.687801204819166,3,3,4.0,4.0,2.0,37,0,2.0,0.0,1,4,0.0,0.0,2,1.0,1.0,133480,7.0,14,0,8.0,4,6,0,4
84,8.730585676037222,3,3,3.0,4.0,3.0,38,0,2.0,0.0,28,4,0.0,0.0,1,0.0,1.0,65830,0.0,12,0,12.0,1,11,2,9
85,9.965590138330834,3,3,3.0,4.0,3.0,31,0,2.0,0.0,6,3,0.0,1.0,3,0.0,0.0,81030,1.0,15,1,11.0,5,11,4,10
86,8.219101963409166,3,3,4.0,2.0,3.0,29,0,2.0,0.0,3,4,0.0,0.0,3,0.0,1.0,39780,1.0,11,0,7.0,0,7,1,7
87,7.4036345381525,4,3,3.0,2.0,3.0,35,0,2.0,0.0,16,2,0.0,0.0,3,0.0,0.0,25440,0.0,13,1,17.0,3,16,0,13
88,6.762868139223333,2,4,3.0,4.0,2.0,23,0,2.0,0.0,20,4,0.0,0.0,1,0.0,1.0,53990,1.0,23,0,4.0,2,4,0,2
89,9.29953145917,3,3,4.0,2.0,3.0,41,0,2.0,0.0,9,2,0.0,1.0,1,0.0,0.0,54870,6.0,19,2,8.0,0,5,1,2
90,7.458285363676667,4,3,2.0,3.0,3.0,47,0,1.0,0.0,1,3,0.0,1.0,2,0.0,0.0,68340,3.0,16,1,5.0,2,0,0,0
91,5.981423471664167,1,4,1.0,4.0,3.0,42,0,2.0,0.0,3,4,0.0,0.0,1,0.0,0.0,10910,2.0,22,0,16.0,0,1,0,0
92,5.900896921017222,2,4,4.0,3.0,2.0,29,0,0.0,0.0,22,4,0.0,0.0,2,0.0,0.0,57360,1.0,22,0,4.0,1,4,0,2
93,8.08675256581861,2,3,3.0,3.0,3.0,42,0,2.0,0.0,7,4,0.0,0.0,3,0.0,1.0,22260,0.0,12,1,4.0,3,3,1,0
94,7.164133199464445,3,3,3.0,2.0,3.0,32,0,2.0,0.0,2,3,0.0,0.0,2,0.0,0.0,57470,1.0,13,0,8.0,0,8,0,7
95,6.847280232039167,2,3,1.0,3.0,1.0,48,0,2.0,0.0,13,4,0.0,0.0,4,0.0,0.0,98540,3.0,16,1,15.0,2,0,0,0
96,10.711529451137778,3,3,3.0,1.0,3.0,37,0,2.0,0.0,8,5,0.0,0.0,2,0.0,1.0,54670,4.0,12,0,13.0,2,7,6,7
97,10.234273761713334,3,4,4.0,3.0,4.0,30,0,0.0,0.0,25,4,0.0,0.0,1,1.0,0.0,53800,7.0,21,1,4.0,0,2,2,2
98,5.849885095939166,3,3,3.0,3.0,3.0,26,0,2.0,0.0,28,3,0.0,1.0,5,0.0,0.0,51510,1.0,15,3,8.0,3,8,7,7
99,5.867603748326389,3,3,1.0,4.0,3.0,42,0,2.0,0.0,2,2,0.0,1.0,1,0.0,0.0,21330,3.0,13,2,14.0,2,1,0,0
100,7.970253235162778,2,3,1.0,2.0,3.0,21,1,1.0,0.0,9,3,0.0,1.0,4,0.0,0.0,178750,1.0,12,0,3.0,5,3,1,2
101,6.807350513163611,1,4,4.0,4.0,3.0,36,0,0.0,1.0,28,3,1.0,0.0,2,0.0,0.0,24320,4.0,22,0,7.0,4,1,0,0
102,6.791153502900277,3,3,1.0,4.0,3.0,36,0,1.0,0.0,6,3,0.0,1.0,2,0.0,0.0,47710,4.0,13,1,16.0,2,13,1,12
103,5.971953369031667,1,3,4.0,3.0,3.0,57,0,2.0,0.0,21,4,0.0,0.0,5,0.0,0.0,191610,2.0,18,0,15.0,2,3,1,2
104,7.606198125836666,3,3,4.0,3.0,3.0,40,0,2.0,0.0,8,3,0.0,0.0,2,0.0,0.0,50870,3.0,14,1,10.0,3,7,1,7
105,7.344952030343333,1,3,1.0,4.0,2.0,21,0,0.0,0.0,1,5,0.0,1.0,2,0.0,0.0,28630,1.0,14,0,3.0,2,3,2,2
106,9.749403168228334,1,4,4.0,3.0,3.0,33,1,2.0,1.0,28,2,1.0,1.0,5,0.0,0.0,55610,1.0,21,1,1.0,3,1,0,0
107,7.4154562695225,4,3,3.0,1.0,3.0,37,0,2.0,0.0,5,3,0.0,0.0,4,0.0,0.0,21440,6.0,19,0,17.0,3,5,0,3
108,5.588887773315278,3,3,3.0,3.0,4.0,46,0,0.0,0.0,2,4,0.0,1.0,2,0.0,0.0,30650,2.0,11,0,7.0,3,1,0,0
109,7.100332440874444,4,3,1.0,2.0,3.0,41,1,1.0,0.0,16,1,0.0,1.0,1,0.0,0.0,28100,1.0,11,0,8.0,3,8,7,7
110,6.3645537706380555,3,3,4.0,4.0,3.0,50,0,2.0,0.0,9,3,0.0,1.0,3,0.0,0.0,98880,6.0,15,0,20.0,2,4,1,3
111,8.735999553770556,2,4,3.0,3.0,3.0,40,1,2.0,0.0,8,3,0.0,1.0,1,1.0,0.0,86280,2.0,20,0,8.0,2,6,1,0
112,10.675884649709722,3,4,3.0,2.0,3.0,31,0,2.0,0.0,1,3,0.0,0.0,4,0.0,0.0,28670,0.0,24,0,3.0,5,2,2,2
113,5.537753235162778,3,3,3.0,2.0,3.0,21,1,2.0,1.0,10,2,1.0,0.0,1,0.0,0.0,53730,1.0,12,1,1.0,2,1,0,0
114,7.663491744756667,4,3,4.0,4.0,3.0,29,0,2.0,0.0,1,3,0.0,1.0,2,0.0,0.0,66670,9.0,12,1,6.0,6,3,1,2
115,7.314774654172222,3,3,3.0,2.0,3.0,35,0,2.0,0.0,29,3,0.0,1.0,3,0.0,0.0,50030,9.0,15,0,10.0,2,1,0,0
116,5.816591923248334,3,3,4.0,2.0,3.0,27,0,2.0,0.0,2,3,0.0,0.0,1,0.0,1.0,23670,0.0,12,1,5.0,2,5,0,4
117,6.634467871485834,2,3,2.0,4.0,3.0,28,0,2.0,0.0,2,2,0.0,0.0,3,0.0,0.0,28580,1.0,12,0,7.0,2,7,0,7
118,7.542354975457222,3,3,2.0,3.0,3.0,49,0,2.0,0.0,2,3,0.0,0.0,2,0.0,0.0,52040,8.0,14,1,26.0,3,5,0,0
119,6.9768016510486115,3,4,3.0,4.0,2.0,51,0,2.0,0.0,1,2,0.0,0.0,1,0.0,0.0,41050,4.0,22,1,18.0,2,7,0,7
120,5.6408690316822225,3,3,4.0,3.0,3.0,36,0,2.0,0.0,15,2,0.0,0.0,1,0.0,0.0,96790,4.0,12,0,6.0,1,2,2,2
121,8.600741856313888,3,4,1.0,4.0,2.0,34,1,0.0,0.0,7,3,0.0,0.0,1,0.0,0.0,56170,8.0,25,1,9.0,3,5,0,4
122,8.230750780901111,3,3,3.0,4.0,3.0,55,0,2.0,0.0,26,3,0.0,0.0,1,0.0,0.0,104480,2.0,13,0,30.0,3,5,1,2
123,9.230603525211944,3,3,4.0,3.0,4.0,24,0,2.0,0.0,1,3,0.0,1.0,5,0.0,1.0,28970,1.0,18,3,5.0,4,5,0,3
124,6.401705711735556,3,3,3.0,2.0,3.0,30,0,2.0,0.0,3,3,0.0,1.0,2,0.0,0.0,59680,1.0,13,0,1.0,3,1,0,0
125,6.7463688085675,3,3,3.0,3.0,3.0,26,1,1.0,0.0,14,3,0.0,0.0,2,0.0,0.0,75100,0.0,18,3,7.0,3,6,0,4
126,5.831803882195278,2,3,1.0,2.0,3.0,22,0,2.0,0.0,16,5,0.0,0.0,1,0.0,0.0,29910,1.0,19,2,2.0,3,2,1,2
127,6.0337817938419445,3,3,2.0,3.0,3.0,36,0,2.0,0.0,1,3,0.0,1.0,5,1.0,0.0,196360,1.0,12,1,10.0,3,10,9,0
128,7.89557675145,2,3,3.0,4.0,3.0,30,1,1.0,0.0,3,2,0.0,0.0,3,0.0,0.0,11290,9.0,19,0,3.0,2,1,0,0
129,6.218881079875,3,3,4.0,1.0,2.0,37,0,2.0,0.0,10,1,0.0,0.0,1,0.0,1.0,133410,1.0,14,1,18.0,3,18,12,17
130,6.173039937527777,2,3,4.0,2.0,3.0,40,0,2.0,0.0,6,2,0.0,0.0,3,0.0,1.0,43320,7.0,14,2,8.0,3,5,1,3
131,7.0619366354305555,2,3,2.0,1.0,3.0,42,0,2.0,0.0,2,3,0.0,1.0,4,0.0,1.0,110310,3.0,12,1,8.0,2,5,1,2
132,9.760771976795834,2,3,3.0,2.0,2.0,37,0,2.0,0.0,9,1,0.0,0.0,3,0.0,0.0,44400,2.0,11,1,18.0,3,1,0,1
133,6.998694779116389,3,3,1.0,2.0,3.0,43,0,2.0,0.0,10,2,0.0,1.0,1,0.0,1.0,46170,1.0,11,0,25.0,2,25,3,9
134,7.164219098616667,2,3,2.0,3.0,3.0,40,0,2.0,0.0,6,2,0.0,1.0,1,0.0,0.0,26470,6.0,13,0,20.0,2,1,0,0
135,5.468940205265278,2,4,1.0,1.0,2.0,54,0,2.0,1.0,9,3,0.0,1.0,2,0.0,0.0,63230,4.0,23,1,24.0,2,4,1,2
136,6.446319723337778,3,4,3.0,3.0,3.0,34,0,0.0,0.0,28,3,0.0,0.0,1,0.0,0.0,56770,9.0,20,1,6.0,3,3,1,2
137,5.713265283355556,2,3,2.0,1.0,1.0,31,0,2.0,0.0,10,4,0.0,0.0,3,0.0,0.0,21870,1.0,15,1,13.0,2,13,3,12
138,6.996710174029444,2,3,4.0,4.0,3.0,43,0,1.0,0.0,14,3,0.0,1.0,1,0.0,0.0,37480,7.0,14,2,0.0,3,3,1,2
139,8.486725792056944,3,3,3.0,3.0,3.0,43,0,2.0,0.0,27,4,0.0,0.0,2,0.0,1.0,39770,4.0,18,1,8.0,3,5,0,2
140,10.151952253458056,4,3,2.0,4.0,3.0,25,0,2.0,1.0,7,2,1.0,0.0,1,0.0,0.0,86330,1.0,19,1,5.0,2,5,1,3
141,10.004965417224444,2,4,2.0,3.0,3.0,37,0,0.0,0.0,1,3,0.0,0.0,3,0.0,0.0,20080,3.0,22,0,15.0,5,13,10,7
142,6.578286479250278,3,3,4.0,1.0,3.0,31,0,2.0,0.0,24,1,0.0,0.0,3,0.0,0.0,44400,1.0,13,1,4.0,2,4,3,2
143,8.864453369031667,1,4,2.0,3.0,3.0,39,0,1.0,0.0,26,4,0.0,1.0,1,0.0,1.0,30670,1.0,20,1,21.0,5,21,1,6
144,7.122437527889167,3,3,3.0,1.0,2.0,56,0,1.0,0.0,20,4,0.0,1.0,3,0.0,0.0,53210,9.0,14,0,36.0,1,7,7,7
145,7.464110887996389,3,3,2.0,3.0,3.0,30,0,2.0,0.0,5,4,0.0,1.0,2,0.0,0.0,54100,0.0,17,1,6.0,2,5,4,4
146,6.411313029897222,2,3,2.0,1.0,3.0,41,0,2.0,0.0,7,3,0.0,1.0,3,0.0,0.0,27820,1.0,14,0,10.0,2,10,0,7
147,5.869447791164444,2,3,3.0,1.0,3.0,28,0,2.0,0.0,7,3,0.0,0.0,3,1.0,1.0,119570,1.0,13,0,10.0,2,10,1,8
148,6.134392012494167,3,3,1.0,1.0,3.0,25,1,2.0,0.0,5,2,0.0,1.0,3,0.0,0.0,26600,5.0,13,0,6.0,3,2,0,2
149,7.997580321285,2,4,4.0,3.0,3.0,52,0,2.0,0.0,26,2,0.0,1.0,2,0.0,0.0,33750,2.0,21,0,28.0,2,5,0,4
150,6.460577867023611,3,3,1.0,4.0,2.0,45,0,2.0,0.0,2,3,0.0,1.0,1,0.0,0.0,50980,3.0,14,1,8.0,4,2,0,2
151,6.8915774207941665,3,3,4.0,4.0,1.0,52,0,2.0,0.0,12,3,0.0,0.0,2,0.0,0.0,48780,2.0,11,1,31.0,3,5,1,4
152,6.384019410977222,2,3,1.0,3.0,3.0,42,0,1.0,0.0,10,3,0.0,1.0,2,1.0,1.0,28370,2.0,13,1,19.0,0,5,0,2
153,6.763717090584445,3,4,3.0,4.0,3.0,30,0,2.0,0.0,25,3,0.0,0.0,1,0.0,0.0,24060,2.0,20,1,11.0,5,5,0,2
154,5.743501784917222,3,3,1.0,1.0,1.0,60,0,2.0,0.0,10,3,0.0,1.0,1,0.0,0.0,22690,5.0,18,1,33.0,4,29,11,10
155,7.243524096385277,2,3,3.0,3.0,2.0,46,0,2.0,0.0,19,4,0.0,1.0,1,0.0,1.0,41080,2.0,14,0,19.0,5,10,0,8
156,6.3037840249886115,3,3,4.0,4.0,4.0,42,0,1.0,0.0,18,4,0.0,0.0,4,0.0,0.0,132060,0.0,13,2,7.0,2,6,0,4
157,10.092957385095833,2,3,1.0,2.0,3.0,24,1,2.0,0.0,27,2,0.0,0.0,1,0.0,0.0,104220,1.0,17,1,6.0,0,5,1,4
158,5.656244979919444,3,4,4.0,3.0,2.0,34,1,1.0,0.0,5,3,0.0,0.0,2,0.0,1.0,137440,0.0,20,1,3.0,3,2,1,0
159,8.177834672021389,3,3,4.0,4.0,3.0,38,0,1.0,0.0,3,3,0.0,1.0,2,0.0,0.0,49070,1.0,11,1,1.0,3,1,0,0
160,5.543419232485277,2,3,3.0,3.0,3.0,40,0,2.0,0.0,26,4,0.0,1.0,1,0.0,0.0,34820,0.0,18,1,21.0,2,20,1,12
161,5.726736947791111,4,4,1.0,4.0,1.0,26,0,2.0,0.0,3,2,0.0,1.0,4,1.0,1.0,24360,1.0,24,0,3.0,2,3,0,2
162,7.429330655956944,2,3,3.0,4.0,1.0,30,0,0.0,0.0,15,3,0.0,1.0,2,0.0,0.0,23800,4.0,18,3,9.0,2,5,1,4
163,6.973972556894167,3,3,2.0,3.0,3.0,29,0,2.0,0.0,8,3,0.0,1.0,3,0.0,0.0,194310,1.0,11,0,10.0,3,10,0,7
